timestamp,text,source,rating,true_topic
2026-08-11 18:20:26,"Got double charged after upgrading my plan, need a refund immediately.",google_play,1,billing_payments
2026-08-12 03:59:24,The tutorial doesn't explain how to invite team members.,google_play,3,onboarding
2026-08-12 10:25:15,My data didn't sync across devices and I lost a week of work.,app_store,2,data_sync
2026-08-12 14:51:25,Still waiting on a reply to my ticket from last week.,google_play,3,customer_support
2026-08-12 16:43:32,Subject: Issue report. Can you add a dark mode option please?,support_ticket,3,feature_requests
2026-08-13 02:00:22,Support rep was rude and unhelpful when I asked for a refund.,app_store,4,customer_support
2026-08-13 03:07:57,Crashes whenever I try to attach a file to a task.,in_app_survey,2,crashes_stability
2026-08-13 04:17:09,Would be nice to have recurring task templates.,app_store,3,feature_requests
2026-08-13 05:37:34,"@TaskFlowApp Navigation is unintuitive, took me forever to find my projects.",twitter,2,ui_ux
2026-08-13 05:42:08,"Really clean and minimal design, easy to use.",google_play,3,ui_ux
2026-08-13 14:51:11,"Got double charged after upgrading my plan, need a refund immediately.",app_store,2,billing_payments
2026-08-13 16:38:48,"This app has completely changed how my team manages projects, love it.",google_play,5,general_positive
2026-08-13 16:54:28,"Sync between desktop and mobile is unreliable, tasks go missing.",google_play,1,data_sync
2026-08-13 19:31:34,"It froze and then crashed while syncing, very frustrating.",google_play,1,crashes_stability
2026-08-13 23:00:45,"Simple, reliable, and does exactly what I need.",in_app_survey,5,general_positive
2026-08-14 01:09:36,"Font is too small on mobile, hard to read.",google_play,2,ui_ux
2026-08-14 05:16:14,The app keeps crashing every time I try to open the dashboard.,support_ticket,2,crashes_stability
2026-08-14 05:48:50,The tutorial doesn't explain how to invite team members.,in_app_survey,4,onboarding
2026-08-14 13:11:11,The app keeps crashing every time I try to open the dashboard.,google_play,1,crashes_stability
2026-08-14 13:21:03,"Simple, reliable, and does exactly what I need.",in_app_survey,5,general_positive
2026-08-14 14:33:50,Subject: Issue report. Everything lags when I have more than 50 items in a list.,support_ticket,2,performance_speed
2026-08-14 15:10:43,"Subject: Issue report. Overcharged on my credit card, this is unacceptable.",support_ticket,1,billing_payments
2026-08-14 16:47:59,"The new UI is confusing, I can't find the settings anymore.",in_app_survey,3,ui_ux
2026-08-14 18:03:43,"Lost my data after the app crashed during a sync, need this fixed.",app_store,1,data_sync
2026-08-14 20:16:55,"@TaskFlowApp Getting locked out of my account randomly, this is concerning.",twitter,1,security_login
2026-08-14 23:40:14,I wish there was a way to export my tasks to PDF.,in_app_survey,4,feature_requests
2026-08-15 02:22:00,"App crashes on launch since the last update, completely unusable.",support_ticket,1,crashes_stability
2026-08-15 03:53:53,Would be nice to have recurring task templates.,google_play,3,feature_requests
2026-08-15 09:12:56,"Best productivity app I've used in years, highly recommend.",google_play,5,general_positive
2026-08-15 09:31:01,"Best productivity app I've used in years, highly recommend.",app_store,5,general_positive
2026-08-15 11:03:17,Loading spinner just spins forever on the reports page.,in_app_survey,1,performance_speed
2026-08-15 13:28:05,"@TaskFlowApp Login now works great with Face ID, very convenient.",twitter,5,security_login
2026-08-15 14:28:29,Subject: Issue report. Any plans to add a native mobile widget?,support_ticket,4,feature_requests
2026-08-15 14:32:50,"Five stars, this has saved me so much time every week.",in_app_survey,5,general_positive
2026-08-15 14:46:26,"@TaskFlowApp Used to crash constantly, but the latest update fixed it for me.",twitter,2,crashes_stability
2026-08-15 16:34:05,It would be great if we could assign tasks to multiple people.,support_ticket,5,feature_requests
2026-08-15 19:22:03,"Real-time sync is great, changes show up instantly on all my devices.",app_store,5,data_sync
2026-08-15 21:29:35,"hey @TaskFlowApp Love the redesign, it looks so much cleaner now.",twitter,5,ui_ux
2026-08-15 23:43:58,I wish there was a way to export my tasks to PDF.,support_ticket,2,feature_requests
2026-08-15 23:49:51,"@TaskFlowApp Great value for the price, worth every penny.",twitter,5,general_positive
2026-08-16 00:01:05,The pricing page doesn't match what I was actually billed.,google_play,2,billing_payments
2026-08-16 00:39:28,"Simple, reliable, and does exactly what I need.",app_store,4,general_positive
2026-08-16 02:16:16,Finally sync works flawlessly across all my devices now.,app_store,3,data_sync
2026-08-16 04:17:33,"Really clean and minimal design, easy to use.",google_play,2,ui_ux
2026-08-16 05:35:11,It would be great if we could assign tasks to multiple people.,google_play,5,feature_requests
2026-08-16 07:12:24,Loved the guided walkthrough for new users.,app_store,5,onboarding
2026-08-16 08:29:16,Please add support for Slack notifications.,app_store,3,feature_requests
2026-08-16 08:55:28,"Support fixed my billing issue quickly, thank you.",in_app_survey,1,billing_payments
2026-08-16 11:56:53,Support rep was rude and unhelpful when I asked for a refund.,app_store,3,customer_support
2026-08-16 12:00:37,I wish there was a way to export my tasks to PDF.,in_app_survey,3,feature_requests
2026-08-16 12:02:10,"Overcharged on my credit card, this is unacceptable.",app_store,1,billing_payments
2026-08-16 12:07:41,"Onboarding was smooth, got set up in under five minutes.",google_play,2,onboarding
2026-08-16 13:10:35,"Stability has gotten so much better, no crashes in weeks!",in_app_survey,2,crashes_stability
2026-08-16 15:21:56,TaskFlow crashed twice today and I lost my unsaved notes.,app_store,1,crashes_stability
2026-08-16 15:45:51,The pricing page doesn't match what I was actually billed.,google_play,1,billing_payments
2026-08-16 16:30:49,"Constant crashing on my Android phone, please fix this ASAP.",app_store,1,crashes_stability
2026-08-16 16:41:44,The search feature is slow and often times out.,google_play,2,performance_speed
2026-08-16 17:15:35,Support team was super helpful and resolved my issue in minutes.,in_app_survey,3,customer_support
2026-08-16 17:51:09,"Real-time sync is great, changes show up instantly on all my devices.",app_store,4,data_sync
2026-08-16 19:43:07,"Getting locked out of my account randomly, this is concerning.",google_play,2,security_login
2026-08-16 21:39:03,TaskFlow crashed twice today and I lost my unsaved notes.,google_play,1,crashes_stability
2026-08-16 21:43:57,"Billing is confusing, I can't tell what plan I'm on.",in_app_survey,2,billing_payments
2026-08-16 22:31:33,"Quick and friendly support, solved my sync issue right away.",app_store,3,customer_support
2026-08-16 23:02:45,"Overcharged on my credit card, this is unacceptable.",in_app_survey,2,billing_payments
2026-08-17 00:24:05,Can you add a dark mode option please?,support_ticket,3,feature_requests
2026-08-17 00:46:35,Please add integration with Google Calendar.,in_app_survey,3,feature_requests
2026-08-17 01:05:32,The app keeps crashing every time I try to open the dashboard.,google_play,2,crashes_stability
2026-08-17 02:42:14,hey @TaskFlowApp Finally sync works flawlessly across all my devices now.,twitter,4,data_sync
2026-08-17 03:29:47,"Performance has improved a lot, loads instantly now.",support_ticket,4,performance_speed
2026-08-17 04:38:13,Two-factor authentication login is broken on iOS.,twitter,1,security_login
2026-08-17 04:41:21,Loading spinner just spins forever on the reports page.,support_ticket,1,performance_speed
2026-08-17 05:14:46,"Payment failed but you still charged me, please refund.",app_store,2,billing_payments
2026-08-17 05:48:48,"Payment failed but you still charged me, please refund.",support_ticket,1,billing_payments
2026-08-17 07:28:06,"Can't log in after resetting my password, keeps saying invalid credentials.",app_store,1,security_login
2026-08-17 08:05:15,"App crashes on launch since the last update, completely unusable.",google_play,2,crashes_stability
2026-08-17 10:12:18,Dark mode please! My eyes hurt using this at night.,google_play,3,ui_ux
2026-08-17 10:31:58,Subject: Issue report. Support rep was rude and unhelpful when I asked for a refund.,support_ticket,3,customer_support
2026-08-17 10:45:20,"Subject: Issue report. Waiting three days for a response from support, very disappointed.",support_ticket,3,customer_support
2026-08-17 10:50:59,"Subject: Issue report. Great value for the price, worth every penny.",support_ticket,5,general_positive
2026-08-17 17:19:43,Crashes whenever I try to attach a file to a task.,google_play,2,crashes_stability
2026-08-17 17:52:35,Subject: Issue report. Dark mode please! My eyes hurt using this at night.,support_ticket,4,ui_ux
2026-08-17 17:56:40,The app keeps crashing every time I try to open the dashboard.,google_play,1,crashes_stability
2026-08-17 19:06:05,"Too many steps just to create my first project, simplify it.",in_app_survey,2,onboarding
2026-08-17 19:25:53,"Navigation is unintuitive, took me forever to find my projects.",app_store,4,ui_ux
2026-08-17 19:47:41,"The color scheme is hard to read, low contrast text everywhere.",app_store,2,ui_ux
2026-08-17 19:59:20,"Subject: Issue report. Confusing setup process, I almost gave up before figuring it out.",support_ticket,2,onboarding
2026-08-17 22:14:19,Two-factor authentication login is broken on iOS.,in_app_survey,2,security_login
2026-08-17 23:13:46,"Used to crash constantly, but the latest update fixed it for me.",in_app_survey,1,crashes_stability
2026-08-17 23:45:01,"Stability has gotten so much better, no crashes in weeks!",app_store,1,crashes_stability
2026-08-18 00:28:11,"I wish the drag and drop was smoother, it feels clunky.",twitter,4,ui_ux
2026-08-18 00:55:45,"Too many steps just to create my first project, simplify it.",app_store,2,onboarding
2026-08-18 00:57:22,"Billing is confusing, I can't tell what plan I'm on.",app_store,1,billing_payments
2026-08-18 04:08:49,"Overcharged on my credit card, this is unacceptable.",google_play,1,billing_payments
